Channel,End Date,Geo ID,Geo Name,Load Date,Product ID,Site Name,Start Date,Time Bucket,Audio Complete,Bounce,Page View,PDF Download,SessionDuration(sec),Signup Attemps,Site Visit
Direct,12/20/2021,1,India,7/2/2021,1002345,www.gov.in,1/1/2021,YTD,14,409,33,17,52,14,551
Direct,12/20/2021,1,India,4/6/2021,1002345,www.gov.in,1/1/2021,YTD,1,412,36,10,51,3,562
Display,12/20/2021,1,India,9/20/2021,1002345,www.gov.in,1/1/2021,YTD,13,408,34,11,48,13,561
Display,12/20/2021,1,India,8/6/2021,1002345,www.gov.in,1/1/2021,YTD,4,417,30,13,72,5,551
Direct,12/20/2021,1,India,9/15/2021,1002345,www.gov.in,1/1/2021,YTD,6,411,35,11,99,15,552
Direct,12/20/2021,1,India,6/26/2021,1002345,www.gov.in,1/1/2021,YTD,2,421,34,12,58,3,552
Direct,12/20/2021,1,India,4/28/2021,1002345,www.gov.in,1/1/2021,YTD,9,403,28,7,51,7,561
refferal,12/20/2021,1,India,5/25/2021,1002345,www.gov.in,1/1/2021,YTD,6,426,40,15,49,3,564
refferal,12/20/2021,1,India,9/3/2021,1002345,www.gov.in,1/1/2021,YTD,5,404,37,2,112,12,572
Display,12/20/2021,1,India,4/10/2021,1002345,www.gov.in,1/1/2021,YTD,15,409,31,15,76,8,578
Direct,12/20/2021,1,India,5/29/2021,1002345,www.gov.in,1/1/2021,YTD,10,400,28,4,103,14,571
refferal,12/20/2021,1,India,10/21/2021,1002345,www.gov.in,1/1/2021,YTD,2,417,40,6,65,8,570
Direct,12/20/2021,1,India,9/30/2021,1002345,www.gov.in,1/1/2021,YTD,4,424,39,17,80,14,563
refferal,12/20/2021,1,India,6/29/2021,1002345,www.gov.in,1/1/2021,YTD,4,411,21,9,116,6,557
refferal,12/20/2021,1,India,5/15/2021,1002345,www.gov.in,1/1/2021,YTD,12,408,26,5,102,13,567
refferal,12/20/2021,1,India,5/21/2021,1002345,www.gov.in,1/1/2021,YTD,2,409,21,10,71,15,573
refferal,12/20/2021,1,India,8/20/2021,1002345,www.gov.in,1/1/2021,YTD,12,405,31,13,95,6,580
Display,12/20/2021,1,India,8/26/2021,1002345,www.gov.in,1/1/2021,YTD,5,413,29,10,98,2,566
Display,12/20/2021,1,India,7/29/2021,1002345,www.gov.in,1/1/2021,YTD,2,411,38,15,97,4,557
refferal,12/20/2021,1,India,8/5/2021,1002345,www.gov.in,1/1/2021,YTD,13,428,29,14,119,14,579
Display,12/20/2021,1,India,1/6/2021,1002345,www.gov.in,1/1/2021,YTD,13,417,29,3,80,14,553
refferal,12/20/2021,1,India,6/13/2021,1002345,www.gov.in,1/1/2021,YTD,6,415,25,17,114,8,553
Display,12/20/2021,1,India,12/8/2021,1002345,www.gov.in,1/1/2021,YTD,10,423,28,4,75,5,567
Direct,12/20/2021,1,India,8/27/2021,1002345,www.gov.in,1/1/2021,YTD,15,428,32,11,61,6,576
Direct,12/20/2021,1,India,4/18/2021,1002345,www.gov.in,1/1/2021,YTD,12,418,31,10,118,12,568
Direct,12/20/2021,1,India,8/8/2021,1002345,www.gov.in,1/1/2021,YTD,3,405,30,17,68,2,580
Direct,12/20/2021,1,India,7/20/2021,1002345,www.gov.in,1/1/2021,YTD,15,427,36,15,65,6,555
Direct,12/20/2021,1,India,12/7/2021,1002345,www.gov.in,1/1/2021,YTD,7,415,36,10,50,6,578
Direct,12/20/2021,1,India,12/1/2021,1002345,www.gov.in,1/1/2021,YTD,14,429,38,14,95,15,573
Direct,12/20/2021,1,India,9/3/2021,1002345,www.gov.in,1/1/2021,YTD,12,430,32,3,86,10,573
Display,12/20/2021,1,India,8/6/2021,1002345,www.gov.in,1/1/2021,YTD,12,410,21,10,97,6,572
Direct,12/20/2021,1,India,10/26/2021,1002345,www.gov.in,1/1/2021,YTD,6,420,36,8,78,3,576
Direct,12/20/2021,1,India,11/26/2021,1002345,www.gov.in,1/1/2021,YTD,14,427,37,14,73,3,552
refferal,12/20/2021,1,India,10/19/2021,1002345,www.gov.in,1/1/2021,YTD,5,400,32,17,60,5,572
Display,12/20/2021,1,India,10/16/2021,1002345,www.gov.in,1/1/2021,YTD,13,403,36,17,75,2,579
Display,12/20/2021,1,India,5/2/2021,1002345,www.gov.in,1/1/2021,YTD,13,419,23,14,83,6,574
Direct,12/20/2021,1,India,1/7/2021,1002345,www.gov.in,1/1/2021,YTD,13,410,30,4,110,13,577
